,open,high,low,close,sma5,sma10,sma30,sma60,macd,macd_signal,stoch_d,stoch_k,stoch_j,ts_create_utc,dt,ts_send_utc,ema30_5_span_grad,macd_5_span_grad,macd_signal_5_span_grad,initial_invest_amount_today,invest_amount,transaction_type,transaction_price,transaction_current_gain,profits,accumulate_gain_in_a_day,stop_trade_flg,macd_golden_cross,macd_dead_cross,continuous_macd_golden_cross_count,stoch_golden_cross,stoch_dead_cross,stoch_all_dead_cross,bought_price,sold_price,my_money,trade_count,is_long_position,long_position_period,purchase_price,stop_trading_this_minute,stop_trading_today,prev_gain,current_gain,total_profit_in_a_day,gain_is_negative_from_prev
0,60568.14,60568.14,60499.57,60552.58,,,,,,,,,,2024-08-13 22:54:59,2024-08-13,2024-08-13 22:55:01,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
1,60538.85,60557.54,60503.26,60518.61,,,,,,,,,,2024-08-13 22:55:59,2024-08-13,2024-08-13 22:56:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
2,60514.37,60592.43,60493.71,60548.92,,,,,,,,,,2024-08-13 22:56:59,2024-08-13,2024-08-13 22:57:02,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
3,60551.23,60567.92,60540.38,60567.92,,,,,,,,,,2024-08-13 22:57:59,2024-08-13,2024-08-13 22:58:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
4,60567.75,60578.76,60540.53,60561.77,60549.96,,,,,,,,,2024-08-13 22:58:59,2024-08-13,2024-08-13 22:59:05,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
5,60572.11,60573,60534.1,60551.41,60549.726,,,,,,,,,2024-08-13 22:59:59,2024-08-13,2024-08-13 23:00:35,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
6,60559.31,60595,60559.31,60572.51,60560.505999999994,,,,,,,,,2024-08-13 23:00:59,2024-08-13,2024-08-13 23:01:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
7,60571.54,60601.18,60556.71,60587.65,60568.252,,,,,,,,,2024-08-13 23:01:59,2024-08-13,2024-08-13 23:02:01,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
8,60578.26,60585.07,60503.78,60531.45,60560.958,,,,,,,,,2024-08-13 23:02:59,2024-08-13,2024-08-13 23:03:06,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
9,60530.53,60551.89,60501.92,60533.49,60555.302,60552.630999999994,,,,,,,,2024-08-13 23:03:59,2024-08-13,2024-08-13 23:04:01,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
10,60532.93,60545.89,60479.86,60516.17,60548.25399999999,60548.99000000001,,,,,,,,2024-08-13 23:04:59,2024-08-13,2024-08-13 23:05:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
11,60479.88,60519.07,60479.88,60518.6,60537.471999999994,60548.989,,,,,,,,2024-08-13 23:05:59,2024-08-13,2024-08-13 23:06:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
12,60518.1,60535.42,60479.85,60531.28,60526.198,60547.225,,,,,,,,2024-08-13 23:06:59,2024-08-13,2024-08-13 23:07:06,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
13,60519.84,60565.67,60507.63,60532.31,60526.369999999995,60543.66399999999,,,,,,,,2024-08-13 23:07:59,2024-08-13,2024-08-13 23:08:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
14,60532.23,60578.17,60525.32,60561.32,60531.936,60543.618999999984,,,,,,,,2024-08-13 23:08:59,2024-08-13,2024-08-13 23:09:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
15,60575.76,60575.76,60502.44,60508,60530.302,60539.27799999999,,,,,,44.52869584329224,,2024-08-13 23:09:59,2024-08-13,2024-08-13 23:10:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
16,60507.46,60551.4,60479.85,60479.86,60522.554000000004,60530.013,,,,,,30.118959312069858,,2024-08-13 23:10:59,2024-08-13,2024-08-13 23:11:01,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
17,60485.56,60536.67,60472.54,60512.67,60518.831999999995,60522.515,,,,,30.92755320818486,18.135004469192484,-7.450093008792265,2024-08-13 23:11:59,2024-08-13,2024-08-13 23:12:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
18,60532.64,60532.64,60465.94,60509.67,60514.30399999999,60520.337,,,,,23.144536206866064,21.179644839335854,17.249862104275437,2024-08-13 23:12:59,2024-08-13,2024-08-13 23:13:02,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
19,60511.81,60516.98,60465.95,60478.09,60497.65800000001,60514.797,,,,,21.162074316987013,24.1715736424327,30.190572293324074,2024-08-13 23:13:59,2024-08-13,2024-08-13 23:14:02,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
20,60488.39,60508.15,60465.95,60465.95,60489.248,60509.77499999999,,,,,19.70890956194889,13.775510204078111,1.9087114883365572,2024-08-13 23:14:59,2024-08-13,2024-08-13 23:15:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
21,60496.64,60563.43,60465.93,60551.5,60503.576,60513.06499999999,,,,,21.628415499652178,26.938162652445723,37.55765695803281,2024-08-13 23:15:59,2024-08-13,2024-08-13 23:16:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
22,60527.68,60593.79,60469.62,60533.07,60507.655999999995,60513.243999999984,,,,,27.38689295069126,41.447005995549944,69.5672320852673,2024-08-13 23:16:59,2024-08-13,2024-08-13 23:17:10,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
23,60522.75,60572.2,60498.82,60553.13,60516.348,60515.326,,,,,44.18763588597367,64.17773900992533,104.15794525782864,2024-08-13 23:17:59,2024-08-13,2024-08-13 23:18:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
24,60568.8,60581.99,60531.74,60531.74,60527.078,60512.368,,,,,54.339416105462156,57.3935033109112,63.50167772180929,2024-08-13 23:18:59,2024-08-13,2024-08-13 23:19:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
25,60531.65,60556.7,60507.9,60525.61,60539.009999999995,60514.129,,,-6.82121654470393,,59.00663671152987,55.44866781375308,48.33273001819951,2024-08-13 23:19:59,2024-08-13,2024-08-13 23:20:00,,,,1000000.0,1000000.0,,-99.9,0.0,0.0,,,0,0,0,0,0,0,-99.9,-99.9,-99.9,0,False,0,-99.9,False,False,0.0,0.0,0.0,0
